name,age,gpa,city
Alice,18,2.00,Miami
Bob,19,2.10,Boston
Carol,20,2.20,Orlando
David,21,2.30,Seattle
Emma,22,2.40,Austin
Frank,23,2.50,Chicago
Grace,24,2.60,Houston
Henry,25,2.70,Phoenix
Isla,26,2.80,Denver
Jack,27,2.90,San Diego
Kelly,28,3.00,New York
Leo,29,3.10,Los Angeles
Maria,30,3.20,Miami
Nathan,31,3.30,Boston
Olivia,32,3.40,Orlando
Paul,33,3.50,Seattle
Quinn,34,3.60,Austin
Ruby,35,3.70,Chicago
Sam,36,3.80,Houston
Tina,37,3.90,Phoenix
Uma,38,4.00,Denver
Victor,39,2.00,San Diego
Wendy,40,2.10,New York
Xavier,41,2.20,Los Angeles
Yara,42,2.30,Miami
Zane,43,2.40,Boston
Alice,44,2.50,Orlando
Bob,45,2.60,Seattle
Carol,18,2.70,Austin
David,19,2.80,Chicago
Emma,20,2.90,Houston
Frank,21,3.00,Phoenix
Grace,22,3.10,Denver
Henry,23,3.20,San Diego
Isla,24,3.30,New York
Jack,25,3.40,Los Angeles
Kelly,26,3.50,Miami
Leo,27,3.60,Boston
Maria,28,3.70,Orlando
Nathan,29,3.80,Seattle
Olivia,30,3.90,Austin
Paul,31,4.00,Chicago
Quinn,32,2.00,Houston
Ruby,33,2.10,Phoenix
Sam,34,2.20,Denver
Tina,35,2.30,San Diego
Uma,36,2.40,New York
Victor,37,2.50,Los Angeles
Wendy,38,2.60,Miami
Xavier,39,2.70,Boston
Yara,40,2.80,Orlando
Zane,41,2.90,Seattle
Alice,42,3.00,Austin
Bob,43,3.10,Chicago
Carol,44,3.20,Houston
David,45,3.30,Phoenix
Emma,18,3.40,Denver
Frank,19,3.50,San Diego
Grace,20,3.60,New York
Henry,21,3.70,Los Angeles
Isla,22,3.80,Miami
Jack,23,3.90,Boston
Kelly,24,4.00,Orlando
Leo,25,2.00,Seattle
Maria,26,2.10,Austin
Nathan,27,2.20,Chicago
Olivia,28,2.30,Houston
Paul,29,2.40,Phoenix
Quinn,30,2.50,Denver
Ruby,31,2.60,San Diego
Sam,32,2.70,New York
Tina,33,2.80,Los Angeles
Uma,34,2.90,Miami
Victor,35,3.00,Boston
Wendy,36,3.10,Orlando
Xavier,37,3.20,Seattle
Yara,38,3.30,Austin
Zane,39,3.40,Chicago
Alice,40,3.50,Houston
Bob,41,3.60,Phoenix
Carol,42,3.70,Denver
David,43,3.80,San Diego
Emma,44,3.90,New York
Frank,45,4.00,Los Angeles
Grace,18,2.00,Miami
Henry,19,2.10,Boston
Isla,20,2.20,Orlando
Jack,21,2.30,Seattle
Kelly,22,2.40,Austin
Leo,23,2.50,Chicago
Maria,24,2.60,Houston
Nathan,25,2.70,Phoenix
Olivia,26,2.80,Denver
Paul,27,2.90,San Diego
Quinn,28,3.00,New York
Ruby,29,3.10,Los Angeles
Sam,30,3.20,Miami
Tina,31,3.30,Boston
Uma,32,3.40,Orlando
Victor,33,3.50,Seattle
Wendy,34,3.60,Austin
Xavier,35,3.70,Chicago
Yara,36,3.80,Houston
Zane,37,3.90,Phoenix
Alice,38,4.00,Denver
Bob,39,2.00,San Diego
Carol,40,2.10,New York
David,41,2.20,Los Angeles
Emma,42,2.30,Miami
Frank,43,2.40,Boston
